"ensembl_gene_id","hgnc_symbol","Control-1","Control-2","Control-3","PNA-10b-1","PNA-10b-2","PNA-10b-3","PNA-21-1","PNA-21-2","PNA-21-3","PNA-10b+21-1","PNA-10b+21-2","PNA-10b+21-3"
"ENSG00000149968","MMP3",219.77299206094,221.748877210487,227.166089851929,208.155880401873,189.933093805868,187.666391042365,218.026899756789,205.288305438828,174.014994298415,181.43197429511,210.316493015127,199.005681443729
"ENSG00000150093","ITGB1",1952.14082914454,1864.83004334288,2116.16319675769,1994.5303063446,1833.20301896448,1757.1886104207,1621.01325550783,1722.01945572889,1539.67621965887,1561.82786716327,1731.56581283806,1709.28862203119
"ENSG00000150281","CTF1",12.1012965955856,10.3427647952652,11.5934157204946,9.01548346833122,11.1099631722163,10.7076919813962,8.57772227552984,9.75938420138047,8.71395267351697,8.99710043093249,8.74848880707001,10.8011919243677
"ENSG00000150316","CWC15",41.5477849781771,36.4656335924494,38.8338890217965,39.6972094653939,39.5349221394294,35.128743868791,36.7197015219599,37.2631033143618,43.5169515331999,37.363754655847,42.0491881372075,37.4901835979508
"ENSG00000150347","ARID5B",76.238168552189,73.9950944209833,72.2358979507738,63.3265008138427,65.7733458014722,69.8191611652442,67.7992568901468,67.9744521998248,59.0436308423756,55.8737128672559,58.7700901313654,63.739591879263
"ENSG00000150401","DCUN1D2",51.7666576588937,53.7232754222634,52.7784170212725,54.4564283691942,52.8905161656043,50.0944654100407,50.5263092942168,56.6453768331873,52.1780923723319,52.8937815143356,49.2455257043134,51.6824474055502
"ENSG00000150403","TMCO3",353.088942888974,343.616197255269,363.368456358438,321.867300921793,321.95254979912,312.401609913366,274.134603682344,286.025029286612,269.393167197637,269.397255578431,295.54370655497,286.419978878146
"ENSG00000150433","TMEM218",9.14320187222019,10.4609678214968,8.99908492989438,8.87007244464846,7.50513469612486,7.63940597503121,6.75642508004062,8.32618792005886,7.49928048266309,7.50713475447233,6.91412825074888,6.97053664886522
"ENSG00000150455","TIRAP",2.21857104252402,2.30495901151625,1.94574809295014,2.10845984340004,1.9501531100167,1.50283396230122,0.940024358962174,1.36494883935391,1.32029585962378,2.23494851469024,1.41104658178548,1.75833356908312
"ENSG00000150456","EEF1AKMT1",5.91618944673071,6.38296341650655,6.24260846488169,6.83431811308979,6.85508365945263,5.51039119510448,6.28641290055954,5.45979535741565,6.65429113250387,6.8194582884138,5.71473865623121,6.27976274672542
"ENSG00000150457","LATS2",21.6478750209919,21.0992401823411,21.7275203712765,20.5029543392694,24.1700794544493,25.0472327050203,23.1480998394435,25.5245432959181,22.5506532823742,22.9225488686178,23.5644779158176,24.4910747122291
"ENSG00000150459","SAP18",77.2466099351544,68.2622476487506,70.6144412066487,74.086916566367,71.6238051315223,68.0032367941302,72.205621072782,70.4313601106618,74.3590628140115,73.5240754960916,75.4204397964342,67.3818542723638
"ENSG00000150477","KIAA1328",7.05908968075824,10.0472572296862,7.70191953459429,9.52442205122088,5.96865042762686,9.39271226438263,6.75642508004062,6.34701210299569,7.55209231704804,7.8509729875016,7.69020387073089,7.84970343340678
"ENSG00000150510","FAM124A",2.55471817017917,3.36878624760068,2.59433079060018,2.98092598549661,3.30935073214954,3.3187583334152,3.81884895828383,3.20762977248169,3.11589822871213,4.41259065720893,4.02148275808863,3.57946476563349
"ENSG00000150527","MIA2",19.7654511061231,20.8628341298779,24.2407783246705,23.0476472537177,21.2153020150301,23.0434540886187,21.6793117785651,20.9519646840825,25.2440568360067,23.2663871016471,23.2822685994605,21.979169613539
"ENSG00000150540","HNMT",26.0177876805089,22.1039659053097,26.4297449292394,22.1751811116211,19.3833400025902,20.5387308181167,19.6230084933354,20.6789749162118,21.3359810915203,18.624570955752,22.0828790049428,21.2255980839319
"ENSG00000150551","LYPD1",2.55471817017917,2.89597414267427,2.99969497663146,1.74493228419314,2.00924865880508,1.56545204406377,1.82129719548921,1.77443349116009,1.32029585962378,1.43265930428861,1.9049128854104,2.13511933388664
"ENSG00000150593","PDCD4",34.5559247229499,37.6476638547655,40.8607099519529,33.4445354470352,35.634615919396,31.3090408812754,31.0208038457517,29.5511423720122,32.53208998113,29.9139262735462,28.7853502684239,31.7128018709634
"ENSG00000150627","WDR17",15.4627678721371,16.8439312380034,15.8092032552199,19.1942551261245,18.0241423804573,15.0283396230122,15.5104019228759,14.1954679292807,15.0513727997111,16.3896224410617,14.3221228051227,15.7622044942808
"ENSG00000150628","SPATA4",2.48748874464814,1.53663934101084,1.94574809295014,2.98092598549661,2.42291750032377,2.50472327050203,1.82129719548921,1.63793860722469,1.8484142034733,1.5472720486317,1.19938959451766,1.38154780427959
"ENSG00000150630","VEGFC",86.1881235307815,89.7160969097865,89.9097764617376,86.9557921622914,87.8159854995397,87.8531687128589,92.6511508802093,89.6088913035843,89.7801184544173,86.303396490346,90.4480858924496,91.3705479648549
"ENSG00000150636","CCDC102B",4.84051863823422,4.72812104926411,6.08046279046918,3.12633700917937,2.18653530517023,3.06828600636499,3.87760048071897,1.84268093312778,4.38338225395096,3.32376958594958,4.58590139080283,3.32827425576447
